State,Num_drivers ,Speeding,Alcohol_Impaired,Not_Distracted,No_Previous_Accidents,Car_Insurance_Premiums,Losses incurred by insurance companies,Latitude,Longitude,Abbr
Alabama,18.8,39,30,96,80,784.55,145.08,32.6010112,-86.6807365,AL
Alaska,18.1,41,25,90,94,1053.48,133.93,61.3025006,-158.7750198,AK
Arizona,18.6,35,28,84,96,899.47,110.35,34.1682185,-111.930907,AZ
Arkansas,22.4,18,26,94,95,827.34,142.39,34.7519275,-92.1313784,AR
California,12,35,28,91,89,878.41,165.63,37.2718745,-119.2704153,CA
Colorado,13.6,37,28,79,95,835.5,139.91,38.9979339,-105.550567,CO
Connecticut,10.8,46,36,87,82,1068.73,167.02,41.5187835,-72.757507,CT
Delaware,16.2,38,30,87,99,1137.87,151.48,39.145251,-75.4189206,DE
District of Columbia,5.9,34,27,100,100,1273.89,136.05,38.8993487,-77.0145666,DC
Florida,17.9,21,29,92,94,1160.13,144.18,27.9757279,-83.8330166,FL
Georgia,15.6,19,25,95,93,913.15,142.8,32.6781248,-83.2229757,GA
Hawaii,17.5,54,41,82,87,861.18,120.92,20.46,-157.505,HI
Idaho,15.3,36,29,85,98,641.96,82.75,45.4945756,-114.1424303,ID
Illinois,12.8,36,34,94,96,803.11,139.15,39.739318,-89.504139,IL
Indiana,14.5,25,29,95,95,710.46,108.92,39.7662195,-86.441277,IN
Iowa,15.7,17,25,97,87,649.06,114.47,41.9383166,-93.389798,IA
Kansas,17.8,27,24,77,85,780.45,133.8,38.4987789,-98.3200779,KS
Kentucky,21.4,19,23,78,76,872.51,137.13,37.8222935,-85.7682399,KY
Louisiana,20.5,35,33,73,98,1281.55,194.78,30.9733766,-91.4299097,LA
Maine,15.1,38,30,87,84,661.88,96.57,45.2185133,-69.0148656,ME
Maryland,12.5,34,32,71,99,1048.78,192.7,38.8063524,-77.2684162,MT
Massachusetts,8.2,23,35,87,80,1011.14,135.63,42.0629398,-71.718067,NE
Michigan,14.1,24,28,95,77,1110.61,152.26,44.9435598,-86.4158049,NV
Minnesota,9.6,23,29,88,88,777.18,133.35,46.4418595,-93.3655146,NH
Mississippi,17.6,15,31,10,100,896.07,155.77,32.5851062,-89.8772196,NJ
Missouri,16.1,43,34,92,84,790.32,144.45,38.3046615,-92.437099,NM
Montana,21.4,39,44,84,85,816.21,85.15,46.6797995,-110.044783,NY
Nebraska,14.9,13,35,93,90,732.28,114.82,41.5008195,-99.680902,NC
Nevada,14.7,37,32,95,99,1029.87,138.71,38.502032,-117.0230604,ND
New Hampshire,11.6,35,30,87,83,746.54,120.21,44.0012306,-71.5799231,OH
New Jersey,11.2,16,28,86,78,1301.52,159.85,40.1430058,-74.7311156,OK
New Mexico,18.4,19,27,67,98,869.85,120.75,34.1662325,-106.0260685,OR
New York,12.3,32,29,88,80,1234.31,150.01,40.7056258,-73.97968,MD
North Carolina,16.8,39,31,94,81,708.24,127.82,35.2145629,-79.8912675,MA
North Dakota,23.9,23,42,99,86,688.75,109.72,47.4678819,-100.3022655,MI
Ohio,14.1,28,34,99,82,697.73,133.52,40.1903624,-82.6692525,MN
Oklahoma,19.9,32,29,92,94,881.51,178.86,35.3097654,-98.7165585,MS
Oregon,12.8,33,26,67,90,804.71,104.61,44.1419049,-120.5380993,MO
Pennsylvania,18.2,50,31,96,88,905.99,153.86,40.9945928,-77.6046984,PA
Rhode Island,11.1,34,38,92,79,1148.99,148.58,41.5827282,-71.5064508,RI
South Carolina,23.9,38,41,96,81,858.97,116.29,33.62505,-80.9470381,SC
South Dakota,19.4,31,33,98,86,669.31,96.87,44.2126995,-100.2471641,SD
Tennessee,19.5,21,29,82,81,767.91,155.57,35.830521,-85.9785989,TN
Texas,19.4,40,38,91,87,1004.75,156.83,31.1693363,-100.0768425,TX
Utah,11.3,43,16,88,96,809.38,109.48,39.4997605,-111.547028,UT
Vermont,13.6,30,30,96,95,716.2,109.61,43.8717545,-72.4477828,VT
Virginia,12.7,19,27,87,88,768.95,153.72,38.0033855,-79.4587861,VA
Washington,10.6,42,33,82,86,890.03,111.62,38.8993487,-77.0145665,WA
West Virginia,23.8,34,28,97,87,992.61,152.56,38.9201705,-80.1816905,WV
Wisconsin,13.8,36,33,39,84,670.31,106.62,44.7862968,-89.8267049,WI
Wyoming,17.4,42,32,81,90,791.14,122.04,43.000325,-107.5545669,WY
